name,instance_count,def,synonyms,image_count,id,frequency,synset
aerosol_can,109,a dispenser that holds a substance under pressure,"['aerosol_can', 'spray_can']",64,1,c,aerosol.n.02
air_conditioner,1081,a machine that keeps air cool and dry,['air_conditioner'],364,2,f,air_conditioner.n.01
airplane,3720,an aircraft that has a fixed wing and is powered by propellers or jets,"['airplane', 'aeroplane']",1911,3,f,airplane.n.01
alarm_clock,158,a clock that wakes a sleeper at some preset time,['alarm_clock'],149,4,f,alarm_clock.n.01
alcohol,207,a liquor or brew containing alcohol as the active agent,"['alcohol', 'alcoholic_beverage']",29,5,c,alcohol.n.01
alligator,39,amphibious reptiles related to crocodiles but with shorter broader snouts,"['alligator', 'gator']",26,6,c,alligator.n.02
almond,1700,oval-shaped edible seed of the almond tree,['almond'],59,7,c,almond.n.02
ambulance,25,a vehicle that takes people to and from hospitals,['ambulance'],22,8,c,ambulance.n.01
amplifier,16,electronic equipment that increases strength of signals,['amplifier'],12,9,c,amplifier.n.01
anklet,39,an ornament worn around the ankle,"['anklet', 'ankle_bracelet']",28,10,c,anklet.n.03
antenna,1018,an electrical device that sends or receives radio or television signals,"['antenna', 'aerial', 'transmitting_aerial']",505,11,f,antenna.n.01
apple,17451,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,['apple'],1207,12,f,apple.n.01
applesauce,7,puree of stewed apples usually sweetened and spiced,['applesauce'],4,13,r,applesauce.n.01
apricot,62,downy yellow to rosy-colored fruit resembling a small peach,['apricot'],10,14,r,apricot.n.02
apron,881,a garment of cloth that is tied about the waist and worn to protect clothing,['apron'],500,15,f,apron.n.01
aquarium,36,a tank/pool/bowl filled with water for keeping live fish and underwater animals,"['aquarium', 'fish_tank']",33,16,c,aquarium.n.01
arctic_(type_of_shoe),8,a waterproof overshoe that protects shoes from water or snow,"['arctic_(type_of_shoe)', 'galosh', 'golosh', 'rubber_(type_of_shoe)', 'gumshoe']",3,17,r,arctic.n.02
armband,85,a band worn around the upper arm,['armband'],44,18,c,armband.n.02
armchair,1112,chair with a support on each side for arms,['armchair'],561,19,f,armchair.n.01
armoire,11,a large wardrobe or cabinet,['armoire'],8,20,r,armoire.n.01
armor,23,protective covering made of metal and used in combat,"['armor', 'armour']",9,21,r,armor.n.01
artichoke,293,a thistlelike flower head with edible fleshy leaves and heart,['artichoke'],33,22,c,artichoke.n.02
trash_can,2722,a bin that holds rubbish until it is collected,"['trash_can', 'garbage_can', 'wastebin', 'dustbin', 'trash_barrel', 'trash_bin']",1883,23,f,ashcan.n.01
